Name,Country,City,State/Province,Operator,Size (sq ft),Size (MW),Latitude,Longitude,Link,Operational Status,Savings_Per_MW,EJ_Demographic_Index,CO2_Avoided_MT,EJ_Energy_Burden_Pct,Electricity_Price_Used,Composite_Score,Classification,Score_SavingsPerMW,Score_Water,Score_OPEX,Score_Payback,Score_LoadGrowth,Payback_Years,OPEX_Impact_Pct,Estimated_Savings_USD,Missing_Inputs
Equinix DC1,USA,Ashburn,VA,Equinix,,8,39.018,-77.4715,,Active,,,,,,,,,,,,,,,,
Equinix DC2,USA,Ashburn,VA,Equinix,,8,39.0181,-77.4716,,Active,,,,,,,,,,,,,,,,
Equinix DC4,USA,Ashburn,VA,Equinix,,12,39.0179,-77.4719,,Active,,,,,,,,,,,,,,,,
Equinix DC5,USA,Ashburn,VA,Equinix,,15,39.0177,-77.4712,,Active,,,,,,,,,,,,,,,,
Equinix DC6,USA,Ashburn,VA,Equinix,,12,39.0182,-77.4714,,Active,,,,,,,,,,,,,,,,
Equinix DC10,USA,Ashburn,VA,Equinix,,18,39.0114,-77.4681,,Active,,,,,,,,,,,,,,,,
Equinix DC12,USA,Ashburn,VA,Equinix,,20,39.0116,-77.4679,,Active,,,,,,,,,,,,,,,,
Equinix DC21,USA,Ashburn,VA,Equinix,,30,39.0121,-77.4662,,Active,,,,,,,,,,,,,,,,
Equinix DC22,USA,Ashburn,VA,Equinix,,32,39.0122,-77.4664,,Active,,,,,,,,,,,,,,,,
Digital Realty IAD35,USA,Ashburn,VA,Digital Realty,,18,39.0146,-77.4768,,Active,,,,,,,,,,,,,,,,
Digital Realty IAD36,USA,Ashburn,VA,Digital Realty,,22,39.0148,-77.477,,Active,,,,,,,,,,,,,,,,
Digital Realty IAD38,USA,Ashburn,VA,Digital Realty,,22,39.0151,-77.4771,,Active,,,,,,,,,,,,,,,,
Digital Realty IAD39,USA,Ashburn,VA,Digital Realty,,24,39.0149,-77.4758,,Active,,,,,,,,,,,,,,,,
AWS IAD50,USA,Ashburn,VA,Amazon Web Services,,40,39.0167,-77.4755,,Active,,,,,,,,,,,,,,,,
AWS IAD60,USA,Ashburn,VA,Amazon Web Services,,40,39.0169,-77.4757,,Active,,,,,,,,,,,,,,,,
AWS IAD10,USA,Sterling,VA,Amazon Web Services,,36,39.0225,-77.444,,Active,,,,,,,,,,,,,,,,
AWS IAD105,USA,Manassas,VA,Amazon Web Services,,50,38.776,-77.4691,,Active,,,,,,,,,,,,,,,,
Iron Mountain VA-1,USA,Manassas,VA,Iron Mountain,,60,38.791,-77.5095,,Active,,,,,,,,,,,,,,,,
CoreSite VA1,USA,Reston,VA,CoreSite,,12,38.9572,-77.3581,,Active,,,,,,,,,,,,,,,,
CoreSite VA2,USA,Reston,VA,CoreSite,,18,38.9569,-77.3578,,Active,,,,,,,,,,,,,,,,
CoreSite VA3,USA,Reston,VA,CoreSite,,30,38.9561,-77.3567,,Active,,,,,,,,,,,,,,,,
QTS Ashburn DC1,USA,Ashburn,VA,QTS,,72,39.0088,-77.4612,,Active,,,,,,,,,,,,,,,,
QTS Manassas DC1,USA,Manassas,VA,QTS,,36,38.7485,-77.4812,,Active,,,,,,,,,,,,,,,,
CyrusOne Sterling I,USA,Sterling,VA,CyrusOne,,30,39.0161,-77.4161,,Active,,,,,,,,,,,,,,,,
CyrusOne Sterling II,USA,Sterling,VA,CyrusOne,,30,39.0152,-77.4134,,Active,,,,,,,,,,,,,,,,
Sabey Ashburn SDC1,USA,Ashburn,VA,Sabey,,36,39.0039,-77.4739,,Construction,,,,,,,,,,,,,,,,
DataBank IAD1,USA,Ashburn,VA,DataBank,,6,39.0231,-77.4661,,Active,,,,,,,,,,,,,,,,
EdgeConneX EDCIAD01,USA,Herndon,VA,EdgeConneX,,8,38.9792,-77.3833,,Active,,,,,,,,,,,,,,,,
Vantage VA11,USA,Ashburn,VA,Vantage,,48,39.0332,-77.4903,,Active,,,,,,,,,,,,,,,,
Vantage VA12,USA,Ashburn,VA,Vantage,,48,39.0335,-77.4905,,Active,,,,,,,,,,,,,,,,
