Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Weismullerstrasse 32-40 (FRA7),Frankfurt,,1.8,56.2,Good,70.6,37.05,33.55,baseline_pue; load_growth_rate; energy_pct_opex,42.12,64.68,50.29,62.02,56.2,56.2,HIGH
Cessnalaan 1-33 AMS3,Amsterdam,,2.2,55.24,Good,68.59,36.86,31.73,baseline_pue; load_growth_rate; energy_pct_opex,42.51,62.91,49.58,60.83,55.24,55.24,HIGH
JFK12,New York,NY,2.5,66.11,Good,79.71,48.16,31.55,baseline_pue; load_growth_rate; energy_pct_opex,53.68,73.94,60.45,71.72,66.11,66.11,HIGH
ITENOS Frankfurt 3,Eschborn,Hesse,2.4,61.9,Good,75.29,43.93,31.36,baseline_pue; load_growth_rate; energy_pct_opex,49.48,69.58,56.25,67.47,61.9,61.9,HIGH
Science PArk 121 (AMS9),Amsterdam,,2.6,58.41,Good,71.2,41.15,30.05,baseline_pue; load_growth_rate; energy_pct_opex,46.6,65.64,52.9,63.86,58.41,58.41,HIGH
Epsilon Global Hubs,Singapore,N/A,2.5,71.47,Good,83.03,53.04,29.99,baseline_pue; load_growth_rate; energy_pct_opex,58.6,79.18,65.7,77.19,71.47,71.47,HIGH
29-31 FRA12,Frankfurt,,1.5,51.65,Good,66.85,37.05,29.8,baseline_pue; load_growth_rate; energy_pct_opex,41.54,60.75,45.52,57.67,51.65,51.65,HIGH
BOS-1,Boston,MA,3.6,72.52,Good,85.51,56.0,29.51,baseline_pue; load_growth_rate; energy_pct_opex,61.25,79.86,67.03,77.97,72.52,72.52,HIGH
Fortress SF1,San Francisco,CA,3.0,73.77,Good,84.92,56.15,28.77,baseline_pue; load_growth_rate; energy_pct_opex,61.57,81.16,68.11,79.38,73.77,73.77,HIGH
7-9 avenue des Arts et MEtiers PAR3,Paris,,2.8,51.92,Good,64.01,35.25,28.76,baseline_pue; load_growth_rate; energy_pct_opex,40.65,58.63,46.53,57.23,51.92,51.92,HIGH
EWR20,Clifton,NJ,2.2,46.68,Moderate,59.7,31.25,28.45,baseline_pue; load_growth_rate; energy_pct_opex,35.47,54.12,41.04,52.22,46.68,46.68,HIGH
EWR14,Carlstadt,NJ,2.2,46.68,Moderate,59.7,31.25,28.45,baseline_pue; load_growth_rate; energy_pct_opex,35.47,54.12,41.04,52.22,46.68,46.68,HIGH
Théséé Data Center 2,Paris,Île-de-France,3.0,53.2,Good,65.07,36.98,28.09,baseline_pue; load_growth_rate; energy_pct_opex,42.3,59.74,47.87,58.45,53.2,53.2,HIGH
Lyoner Strasse 28 FRA28,Frankfurt,,3.9,68.46,Good,80.7,52.82,27.88,baseline_pue; load_growth_rate; energy_pct_opex,57.96,75.24,63.13,73.75,68.46,68.46,HIGH
Equinix BA2,Barcelona,Catalonia,3.4,49.91,Moderate,61.14,34.46,26.68,baseline_pue; load_growth_rate; energy_pct_opex,39.68,55.97,44.72,55.03,49.91,49.91,HIGH
nLighten Amsterdam AMS ll,Schiphol-Rijk,,4.2,65.05,Good,76.67,50.13,26.54,baseline_pue; load_growth_rate; energy_pct_opex,55.18,71.36,59.85,70.21,65.05,65.05,HIGH
SJC14,Santa Clara,CA,4.8,78.07,Excellent,88.47,61.97,26.5,baseline_pue; load_growth_rate; energy_pct_opex,67.13,84.86,72.62,83.5,78.07,78.07,HIGH
Weismullerstrase 36 (FRA8),Frankfurt,,5.4,71.38,Good,83.11,56.77,26.34,baseline_pue; load_growth_rate; energy_pct_opex,61.73,77.75,66.19,76.54,71.38,71.38,HIGH
NT Banggrak,Bangkok,,2.7,41.9,Moderate,53.93,27.77,26.16,baseline_pue; load_growth_rate; energy_pct_opex,31.83,48.6,36.48,47.23,41.9,41.9,HIGH
Calle de Albasanz 71 MAD1,Madrid,,3.6,50.92,Good,61.96,35.82,26.14,baseline_pue; load_growth_rate; energy_pct_opex,40.98,56.83,45.77,55.99,50.92,50.92,HIGH
Equinix TY2,Tokyo,Tokyo,5.0,68.8,Good,80.36,54.24,26.12,baseline_pue; load_growth_rate; energy_pct_opex,59.21,75.05,63.63,73.93,68.8,68.8,HIGH
Calle de Albasanz 73 MAD2,Madrid,,2.4,42.38,Moderate,54.93,28.93,26.0,baseline_pue; load_growth_rate; energy_pct_opex,33.04,49.48,36.83,47.82,42.38,42.38,HIGH
Equinix FR1,Frankfurt,Hesse,6.0,72.14,Good,83.73,57.8,25.93,baseline_pue; load_growth_rate; energy_pct_opex,62.71,78.4,66.99,77.27,72.14,72.14,HIGH
ITENOS Frankfurt Eschborn,Eschborn,Hesse,6.0,72.14,Good,83.73,57.8,25.93,baseline_pue; load_growth_rate; energy_pct_opex,62.71,78.4,66.99,77.27,72.14,72.14,HIGH
Esbogatan 11 (STO5),Stockholm,Kista,3.4,40.28,Moderate,51.36,25.46,25.9,baseline_pue; load_growth_rate; energy_pct_opex,29.67,46.25,35.06,45.39,40.28,40.28,HIGH
SJC35,Santa Clara,CA,6.0,79.51,Excellent,89.65,63.92,25.73,baseline_pue; load_growth_rate; energy_pct_opex,68.98,86.1,74.12,84.87,79.51,79.51,HIGH
SJC10,Santa Clara,CA,6.3,79.78,Excellent,89.87,64.29,25.58,baseline_pue; load_growth_rate; energy_pct_opex,69.34,86.34,74.41,85.14,79.78,79.78,HIGH
Equinix TY4,Tokyo,Tokyo,6.0,70.23,Good,81.55,56.18,25.37,baseline_pue; load_growth_rate; energy_pct_opex,61.06,76.29,65.13,75.3,70.23,70.23,HIGH
Telehouse Koto 1,Tokyo,Tokyo,6.0,70.23,Good,81.55,56.18,25.37,baseline_pue; load_growth_rate; energy_pct_opex,61.06,76.29,65.13,75.3,70.23,70.23,HIGH
ESbogatan 11 (STO1),Stockholm,Kista,3.3,39.58,Moderate,50.79,25.46,25.33,baseline_pue; load_growth_rate; energy_pct_opex,29.4,45.65,34.33,44.73,39.58,39.58,HIGH
LAX12,Los Angeles,CA,7.1,80.4,Excellent,90.38,65.12,25.26,baseline_pue; load_growth_rate; energy_pct_opex,70.13,86.87,75.05,85.72,80.4,80.4,HIGH
Conapto Stockholm 2 South,Skarholmen,,4.0,43.73,Moderate,54.2,28.98,25.22,baseline_pue; load_growth_rate; energy_pct_opex,34.13,49.23,38.68,48.7,43.73,43.73,HIGH
Bahnhof Pionen,Stockholm,Stockholm,4.0,43.73,Moderate,54.2,28.98,25.22,baseline_pue; load_growth_rate; energy_pct_opex,34.13,49.23,38.68,48.7,43.73,43.73,HIGH
