Name,City,State,Operator,Size_MW,Latitude,Longitude,Status,Electricity_Price,Composite_Score,Classification,Savings_Per_MW,Payback_Years,OPEX_Impact_Pct,Annual_Energy_Cost,Estimated_Savings,EJ_Demographic_Index,EJ_Energy_Burden_Pct,CO2_Avoided_MT,Water_Saved_Gal,Grid_Relief_Pct,Cars_Equivalent,Homes_Equivalent,Missing_Inputs_Note
CWL1 Cardiff,Newport,South Wales,Vantage Data Centers,148.0,51.555,-3.0375,Construction,0.34,90.87,Excellent,355472.04,0.029,4.0,526098619.2,52609861.92,,,35589.0,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Echelon DUB20,Arklow,Leinster,Echelon,100.0,52.7935,-6.1518,Construction,0.3,90.75,Excellent,313651.8,0.048,4.8,313651800.0,31365180.0,,,31365.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Goldwsworth PArk Trading Estate (LGW14),London,,Digital Realty,84.0,51.51630857391741,-0.1384885615077921,Active,0.34,90.74,Excellent,355472.04,0.05,4.0,298596513.6,29859651.36,,,20199.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
LGW14,Woking,London,Digital Realty,84.0,51.323400057859,-0.586313178113241,Active,0.34,90.74,Excellent,355472.04,0.05,4.0,298596513.6,29859651.36,,,20199.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Echelon DUB10,Dublin,Leinster,Echelon,90.0,53.3215,-6.3972,Construction,0.3,90.72,Excellent,313651.8,0.053,4.8,282286620.0,28228662.0,,,28228.7,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Spring Park,Corsham,South West,Ark Data Centres,55.0,51.41919504,-2.21803301,Active,0.34,90.58,Excellent,355472.04,0.077,4.0,195509622.0,19550962.2,,,13225.7,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Google Dublin 2,Dublin,Leinster,Google,60.0,53.3282,-6.4542,Active,0.3,90.56,Excellent,313651.8,0.08,3.2,188191080.0,18819108.0,,,18819.1,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Cyrus One DUB 1,Ballybane,,CyrusOne,54.0,53.258428036040755,-8.99539463863907,Active,0.3,90.51,Excellent,313651.8,0.089,4.0,169371972.0,16937197.2,,,16937.2,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Vantage DUB1,Dublin,Leinster,Vantage,52.0,53.3285,-6.4569,Construction,0.3,90.49,Excellent,313651.8,0.092,4.0,163098936.0,16309893.6,,,16309.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
LON-1-3,London,N/A,Iron Mountain,41.0,51.5268,-0.633,Construction,0.34,90.42,Excellent,355472.04,0.103,4.0,145743536.4,14574353.64,,,9859.1,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
